Word,Meaning,Synonyms,Antonyms,Example,Cout
implicit,ضمنی - غیرصریح - پنهان,inherent,"explicit, express",N/A,1
explicit,صریح,express,"implicit, inexplicit",N/A,1
multidimensional,چند بعدی,N/A,N/A,N/A,1
unification,اتحاد,"union, merger, uniting",N/A,N/A,1
regardless,صرف نظر کردن,"carelesss, no matter, disregardless",N/A,N/A,1
declaration,اعلامیه,"resolve, resolution",N/A,N/A,1
pseudo,شبه,sham,N/A,N/A,1
treats,رفتار,N/A,N/A,N/A,1
contiguous,هم پیوسته,"close, connected",N/A,N/A,1
Distributed,توزیع شده,broadcast,concentrated,N/A,0
yields,بازده,N/A,N/A,N/A,0
illustrates,نشان می دهد,N/A,N/A,N/A,0
shallow,کم عمق,light,deep,N/A,0
compatible,سازگار,N/A,incompatible,N/A,0
exposed,در معرض,N/A,N/A,N/A,0
facilities,تسهیلات,N/A,N/A,N/A,0
conversion,تبدیل,"transition, rebirth, changeover, spiritual rebirth, extra points, point after",N/A,N/A,0
associated,وابسته,"joint, related, connected, related to",N/A,N/A,0
honor,افتخار,"grace, respect, favor, observe, award, accolade, reward, honour, favour, purity, laurels, abide by","shame, disgrace, disrespect, attaint, dishonor, dishonour",N/A,0
subtle,ظریف,"insidious, pernicious, elusive, delicate, perceptive, harmful, impalpable",N/A,N/A,0
evaluates,ارزیابی کردن,N/A,N/A,N/A,0
granular,دانه دار,"coarse, gritty, mealy, sandy, grainy, farinaceous, granulose, coarse-grained, chondritic",achondritic,N/A,0
produce,تولید کردن,"get, develop, make, raise, grow, farm, acquire, create, bring about, bring out, bring forth, bring on, give rise, garden truck, green goods, green groceries",N/A,N/A,0
beyond,فراز,on the far side,N/A,N/A,0
surrogate,جانشین,"foster, alternate, deputy, replacement, adoptive",N/A,N/A,0
sequence,ترتیب,"episode, succession, successiveness, chronological sequence, chronological succession",N/A,N/A,0
express,بیان کردن,"state, show, convey, extract, explicit, carry, utter, evince, expressed, expressage, express train, press out, express mail, give tongue to, express bus",local,N/A,0
versus,در مقابل,N/A,N/A,N/A,0
perform,اجرا کردن,"do, execute",N/A,N/A,0
